N_THREADS,n_obj,time,mean,dp,spUp,eff
0,50000,80.2027,88.5024,7.491,1.0,1.0
2,50000,78.3276,86.9784,8.0082,1.0175,0.5088
4,50000,79.9471,89.5474,8.7754,0.9883,0.2471
8,50000,81.0217,90.8716,9.0068,0.9739,0.1217
0,100000,161.5352,176.8856,15.0574,1.0,1.0
2,100000,155.9078,173.4554,16.3768,1.0198,0.5099
4,100000,159.835,178.7997,17.3546,0.9893,0.2473
8,100000,160.6375,181.4366,18.3925,0.9749,0.1219
0,200000,320.8439,352.7376,30.4401,1.0,1.0
2,200000,308.5917,346.5755,33.7773,1.0178,0.5089
4,200000,316.9368,355.9321,35.1715,0.991,0.2478
8,200000,324.2811,363.5534,35.7182,0.9702,0.1213
0,400000,637.7209,702.9823,61.3701,1.0,1.0
2,400000,613.1314,689.581,69.7132,1.0194,0.5097
4,400000,632.1815,710.5506,72.1034,0.9893,0.2473
8,400000,636.0432,722.5072,75.8797,0.973,0.1216
0,800000,1271.1938,1390.6435,117.3342,1.0,1.0
2,800000,1235.3498,1377.8199,129.7391,1.0093,0.5047
4,800000,1303.595,1422.4354,122.7943,0.9776,0.2444
8,800000,1317.7476,1455.1897,134.2599,0.9556,0.1195
