N_THREADS,n_obj,time,mean,dp,spUp,eff
0,50000,7.6443,7.7193,0.0467,1.0,1.0
2,50000,4.6561,4.7102,0.0333,1.6388,0.8194
4,50000,2.6433,2.6353,0.0084,2.9292,0.7323
8,50000,3.6377,3.5783,0.0443,2.1573,0.2697
0,100000,15.1808,15.3193,0.2236,1.0,1.0
2,100000,9.317,9.4633,0.0943,1.6188,0.8094
4,100000,5.2884,5.3077,0.0409,2.8862,0.7216
8,100000,8.7805,7.5734,0.699,2.0228,0.2528
0,200000,31.8992,31.2317,0.6294,1.0,1.0
2,200000,19.2055,19.1015,0.1131,1.635,0.8175
4,200000,11.2567,10.8532,0.2642,2.8777,0.7194
8,200000,14.454,14.2847,0.181,2.1864,0.2733
0,400000,60.5052,61.1471,0.5433,1.0,1.0
2,400000,37.2854,37.6232,0.2337,1.6252,0.8126
4,400000,25.1522,22.228,1.6884,2.7509,0.6877
8,400000,33.3946,30.2761,1.9533,2.0196,0.2525
0,800000,121.237,122.4547,1.9944,1.0,1.0
2,800000,75.6972,75.7759,0.2065,1.616,0.808
4,800000,41.9955,42.5057,0.6893,2.8809,0.7202
8,800000,57.7847,57.5682,0.3968,2.1271,0.2659
