N_THREADS,n_obj,time,mean,dp,spUp,eff
0,50000,3.7594,3.7606,0.0199,1.0,1.0
2,50000,2.2973,2.3069,0.0057,1.6302,0.8151
4,50000,1.3558,1.3569,0.0017,2.7715,0.6929
8,50000,2.176,2.1748,0.0034,1.7292,0.2161
0,100000,7.4234,7.4616,0.0254,1.0,1.0
2,100000,4.6158,4.6123,0.0115,1.6178,0.8089
4,100000,2.7126,2.7143,0.0029,2.749,0.6873
8,100000,4.3558,4.3611,0.0049,1.7109,0.2139
0,200000,14.9035,14.9125,0.0479,1.0,1.0
2,200000,9.166,9.1847,0.0231,1.6236,0.8118
4,200000,5.4237,5.4268,0.002,2.7479,0.687
8,200000,8.6857,8.7139,0.0212,1.7113,0.2139
0,400000,29.7487,29.764,0.0494,1.0,1.0
2,400000,18.4479,18.3835,0.0651,1.6191,0.8095
4,400000,10.7909,10.8432,0.0327,2.745,0.6862
8,400000,17.3718,17.428,0.0376,1.7078,0.2135
0,800000,59.7606,59.4877,0.1579,1.0,1.0
2,800000,36.8825,36.7219,0.0988,1.62,0.81
4,800000,21.511,21.6621,0.0969,2.7462,0.6865
8,800000,34.7503,34.8208,0.0571,1.7084,0.2135
