N_THREADS,n_obj,time
0,10000,3.9322660000000003
1,10000,4.373099
2,10000,2.7368349999999997
4,10000,2.157365
8,10000,2.645937
0,20000,7.815286
1,20000,8.829305999999999
2,20000,5.750908
4,20000,4.436343
8,20000,5.4462779999999995
0,40000,15.720234
1,40000,17.540243
2,40000,11.000614
4,40000,9.887373
8,40000,10.537509
0,80000,31.235671000000004
1,80000,35.349806
2,80000,23.073952
4,80000,16.969951000000002
8,80000,20.139851999999998
