N_THREADS,n_obj,time
0,10000,0.748776
1,10000,0.843908
2,10000,0.526617
4,10000,0.29891100000000004
8,10000,0.42660200000000004
0,20000,1.500426
1,20000,1.6930029999999998
2,20000,1.053138
4,20000,0.598053
8,20000,0.85003
0,40000,2.965619
1,40000,3.395118
2,40000,2.104951
4,40000,1.1964569999999999
8,40000,1.70415
0,80000,5.93685
1,80000,6.8001
2,80000,4.184657
4,80000,2.393983
8,80000,3.4062040000000002
