N_THREADS,n_obj,time
0,100000,0.681956
1,100000,0.794186
2,100000,1.101585
4,100000,0.691194
8,100000,1.760264
0,200000,1.36582
1,200000,1.587269
2,200000,2.22647
4,200000,1.381111
8,200000,3.5182519999999995
0,400000,2.7212959999999997
1,400000,3.177142
2,400000,4.439927
4,400000,2.765402
8,400000,7.026209
0,800000,5.442528
1,800000,6.330504
2,800000,8.819135000000001
4,800000,5.503903
8,800000,14.044943
