N_THREADS,n_obj,time
0,100000,1.421965
1,100000,1.524425
2,100000,1.1161860000000001
4,100000,0.81404
8,100000,1.980345
0,200000,2.726753
1,200000,2.999317
2,200000,2.225234
4,200000,1.65356
8,200000,4.020279
0,400000,5.298986
1,400000,6.049752
2,400000,4.420882
4,400000,3.309644
8,400000,8.077468
0,800000,10.594341
1,800000,12.054572
2,800000,8.803525
4,800000,6.620429
8,800000,16.102834
